timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665572644217,1144,Conf#1 Request,200,OK,Conf#1 1-9,text,true,,231,156,12,36,http://localhost:8080/?token=468606778&user=2023800600&conf=1,1137,0,27
1665572644217,1144,Conf#1 Request,200,OK,Conf#1 1-3,text,true,,231,156,12,36,http://localhost:8080/?token=468606778&user=2023800600&conf=1,1137,0,26
1665572644217,1144,Conf#1 Request,200,OK,Conf#1 1-2,text,true,,231,156,12,36,http://localhost:8080/?token=468606778&user=2023800600&conf=1,1137,0,26
1665572644217,1145,Conf#3 Request,200,OK,Conf#3 3-6,text,true,,231,156,12,36,http://localhost:8080/?token=468606778&user=2023800600&conf=3,1137,0,26
1665572644217,1145,Conf#2 Request,200,OK,Conf#2 2-6,text,true,,231,156,12,36,http://localhost:8080/?token=468606778&user=2023800600&conf=2,1137,0,26
1665572644217,1144,Conf#2 Request,200,OK,Conf#2 2-9,text,true,,231,156,12,36,http://localhost:8080/?token=468606778&user=2023800600&conf=2,1137,0,27
1665572644217,1145,Conf#3 Request,200,OK,Conf#3 3-2,text,true,,231,156,12,36,http://localhost:8080/?token=468606778&user=2023800600&conf=3,1137,0,26
1665572644217,1144,Conf#2 Request,200,OK,Conf#2 2-4,text,true,,231,156,12,36,http://localhost:8080/?token=468606778&user=2023800600&conf=2,1137,0,26
1665572644217,1144,Conf#3 Request,200,OK,Conf#3 3-4,text,true,,231,156,12,36,http://localhost:8080/?token=468606778&user=2023800600&conf=3,1137,0,27
1665572644217,1144,Conf#2 Request,200,OK,Conf#2 2-10,text,true,,231,156,12,36,http://localhost:8080/?token=468606778&user=2023800600&conf=2,1137,0,27
1665572644217,1144,Conf#2 Request,200,OK,Conf#2 2-12,text,true,,231,156,12,36,http://localhost:8080/?token=468606778&user=2023800600&conf=2,1137,0,26
1665572644217,1144,Conf#2 Request,200,OK,Conf#2 2-8,text,true,,231,156,12,36,http://localhost:8080/?token=468606778&user=2023800600&conf=2,1137,0,26
1665572644217,1144,Conf#2 Request,200,OK,Conf#2 2-2,text,true,,231,156,12,36,http://localhost:8080/?token=468606778&user=2023800600&conf=2,1137,0,27
